gene_id,Co, 8h,16h,24h,48h,72h,96h,114h
gene1,127.8993084,26.10013604,24.7322393,20.20617077,17.11559371,15.40925542,25.0458528,23.45576171
gene2,12.32971191,1.668062934,1.85229758,3.106999489,5.49894125,6.64155921,4.485006149,7.289475569
gene3,0,0.018899458,17.75652914,0.501075747,2.748554342,0.45990437,22.90259006,0.782160421
gene4,100.03164,120.4221575,140.3095999,36.08823249,94.6766168,20.48564202,84.86185907,124.2123994
gene5,1.771886221,16.92719948,15.74962156,51.74089601,30.99760062,12.20269776,15.44460115,91.43587674
gene6,4.931495623,1.538898719,18.63827754,3.914093564,9.388028359,4.869095343,14.96425625,9.501216289
gene7,200.687185,1318.082828,1253.001364,1681.959438,1288.6249,968.3293645,1727.77471,1724.335661
gene8,580.2139662,978.2194019,641.3808576,844.7321436,438.8733024,465.5083191,426.7339962,495.8062886
gene9,37.31840221,40.52437125,118.8130557,43.50545355,26.42632553,47.58796064,46.40779809,40.72153267
gene10,0,0,1.528079654,3.944423639,3.620215291,0.278645582,2.229502546,5.741843594
gene11,2.783040414,0,1.2522887,0.664665238,0.419375023,1.308782049,1.377874139,2.330928581
gene12,49.36231419,26.66887762,15.64053402,9.539649878,14.95899675,13.76079677,14.64356895,18.00451244
gene13,0,0,2.622342088,1.024958035,12.78251264,7.443879264,5.446945726,4.086161858
gene14,17.29358057,37.28265762,30.99154272,61.89378227,38.91664402,68.76318834,31.36788708,53.31704123
gene15,8.870238839,29.66829892,22.12471112,15.872909,35.23145835,17.79304028,21.46877749,19.07045421
gene16,2.626100464,0.005646412,0.102456118,0.17207087,0,0.196873467,1.033742373,0.817875322
gene17,20.32213209,20.52148967,21.82594422,23.62672393,20.43110833,27.25605909,27.24651254,22.07631292
gene18,0.077912339,0,2.65265756,0.8400914,2.424428311,3.845644818,4.142091405,2.533969291
gene19,3.706013613,39.05398147,5.370928111,15.08010572,8.369867954,12.67401605,20.94613646,19.64320638
gene20,10.98916154,45.64031296,70.75949377,27.80189744,39.28542217,25.29324635,20.35439189,38.9454727
gene21,0,0,0.206508394,5.618523247,0,1.066437669,0,2.098081084
gene22,0,0,1.024435726,1.067895316,4.053140677,3.716380189,0,0.571307335
gene23,8.434548932,22.34616732,11.9144813,16.8062531,19.07341029,28.10202573,26.16311668,21.99924351
gene24,3.902988511,18.01183376,11.08683752,11.64219221,5.946492121,9.473982634,19.58422096,12.46421722
gene25,15.45009321,17.1094206,15.11949223,15.51362163,10.4409341,15.60601121,14.5030543,20.00447302
gene26,4.127488009,12.57015999,34.17077712,20.32626318,15.01480438,22.2630115,26.21687393,20.72379108
gene27,0,10.08558766,1.220043372,6.167529339,0,1.56290761,5.666398856,7.968458274
gene28,5.830320594,49.81432108,77.50000867,22.45430224,28.22861159,32.31487335,47.53135269,20.31181505
gene29,0.070713916,16.03566002,22.77881292,14.84225463,21.54489127,15.03531368,14.29397549,14.10219673
gene30,0.117219465,12.15968393,3.302023807,3.691224695,2.324820575,4.981257029,5.06761366,3.16219689
gene31,0,0,0.939059641,2.108824523,7.017022622,2.142772623,0,4.17229372
gene32,24.19125678,44.26597755,65.9346083,19.65999198,47.94489844,33.38024882,55.95464238,55.76295239
gene33,9.997885157,3.601125088,20.22994456,7.439488722,8.618148804,7.315233859,9.369786062,6.354153048
gene34,46.11594965,7.704024739,17.60565807,28.65054796,15.88036796,14.70180754,15.93727774,23.17152631
gene35,3.919753342,4.228344976,7.168730784,15.08788515,11.83437058,5.51465319,5.250187084,5.350979057
gene36,0,14.10228257,5.764478517,0,0,2.373572704,20.49078567,0
gene37,13.65384706,32.73744169,38.94211728,17.65078401,35.93785968,31.79248943,29.19936958,41.40345871
gene38,0,26.15995258,5.901382055,1.259989252,0,4.364676446,0,4.991350334
gene39,1.513161751,35.02094393,15.75443579,17.34701671,16.04016238,19.26574498,15.4149322,15.54598923
gene40,7.818250655,3.654371093,1.980431741,0.126336562,0.050972697,2.368100126,4.766556016,5.154077185
gene41,9.374797819,5.695988925,13.56704387,14.69080803,21.75153302,39.68425503,133.5748173,24.84232529
gene42,0.973953715,0.187105645,0.15675858,4.223927251,9.121728465,0.013553435,0.061642803,0.236785771
gene43,8.975372712,1.223367054,0.094629985,0.045913906,0.005963152,38.21193287,32.76789396,11.0491584
gene44,35.51991018,26.17287996,9.21106675,16.98062701,7.364514577,1.718575381,4.645086025,2.060822902
gene45,8.824727893,9.227649461,1.966041844,22.82308011,30.6182884,4.938848189,6.922054955,9.133995952
gene46,0.677757517,0.11132486,0.069633909,38.67983501,67.62018279,2.093869089,1.460349429,0.232373735
gene47,2.643319301,0.173452103,0.138830055,5.811749749,6.217164789,144.9806465,48.40649718,16.88635358
gene48,2.977721119,0.67975064,0.295649196,24.5392122,13.15853966,3.00984208,5.046198242,10.53734137
gene49,4.656148403,1.44768504,0.873475275,2.439334288,0.498101883,2.116622459,2.542657442,6.539127061
gene50,6.587378886,2.059818076,1.482519382,4.073219992,2.97092094,0.362987812,0.409545962,2.403422209
gene51,7.999001049,5.796789315,10.92850524,4.623481176,2.410539873,1.810607429,7.675759052,4.513248881
gene52,0.423158372,0.039688675,0.011049761,1.404510395,0.135033184,0.39607141,0.127484078,0.057530091
gene53,2.229032351,0.388397752,0,126.071014,11.07403818,2.422240307,0.989649628,0.508583544
gene54,2.79207014,1.618178781,0.616160118,22.01189189,28.52475245,4.850614702,35.37982714,15.22818884
gene55,4.207114039,1.517917872,1.43574238,0.621099798,0.414373869,41.18219848,36.29489829,17.3150686
gene56,65.30484932,7.554061297,1.712463484,12.34583413,2.761008629,3.97379249,3.436120711,7.546976678
gene57,1.268515279,2.426945216,1.238788352,4.749284416,3.40669776,5.404371704,3.055795541,1.86822653
gene58,131.5976509,54.63567606,9.954819553,33.69150162,20.51445752,0.636401467,1.175001484,42.60392307
gene59,0.480990771,0.845056017,1.680294245,2.152004948,1.409698202,162.2693037,139.0924324,51.87295553
gene60,44.98371067,5.168659649,2.987802684,41.51486966,42.80229819,536.4379646,584.6655216,957.142251
gene61,24.10375146,13.00713692,6.822497563,29.89607732,128.4000512,24.16445399,56.20915328,64.34439104
gene62,77.17146264,297.0661003,1176.216211,130.5151103,228.6280803,7.322091611,4.129442333,2.747360788
gene63,1.517351953,74.37086031,21.03613766,111.8537806,193.9847734,0.085637511,0.376336049,0.641411055
