ID,hy12h,w24h,w48h,w72h
TE1G00400,0,0,4.11,28.73
TE1G03240,0,14.54,12.55,14.97
TE1G16360,4.86,6.31,6.62,5.4
TE1G25600,0.82,125.8,76.46,89.3
TE1G25740,0.21,7.66,5.32,11.09
TE1G26130,0.84,5.04,10.47,17.03
TE1G26760,0,0,0.24,0.56
TE1G29560,1.45,19.17,10.14,10.63
TE1G30890,9,31.95,20.8,25.44
TE1G33350,0,14.41,5.91,5.75
TE1G33360,0,5.57,6.22,4.08
TE1G34390,0,15.84,55.53,67.27
TE1G35920,5.99,25.89,30.84,25.69
TE1G52410,0.17,10.77,0.92,3.15
TE2G02620,19.65,37.83,18.54,25.07
TE2G04570,12.21,4.3,6.17,21.43
TE2G10710,22.75,78.28,46.44,67.36
TE2G16550,0.95,29.5,11.89,32.15
TE2G16830,0.93,111.36,77.31,106.1
TE2G16940,0.56,13.96,4.07,1.87
TE2G18230,0,7.23,5.39,9.91
TE2G19340,0.14,17.91,60.17,74.67
TE2G19830,0,0,2.18,2.57
TE2G20500,0,27.64,16.22,57.05
TE2G20540,0,18.25,21.34,38.86
TE2G31740,9.19,49.21,15.2,44.14
TE2G35390,17.61,1.95,1.87,1.87
TE2G38900,0.62,49.05,10.11,22.34
TE2G42000,0,8.74,16.19,21.86
TE3G04260,1.13,45.78,191.64,295.77
TE3G13000,1.69,23.08,2.34,1.89
TE3G21480,7.18,12.28,3.04,3.14
TE3G31760,0,41.28,2.87,5.54
TE3G34120,0,13.27,3.71,12.7
TE4G12500,0.33,42.04,74.59,232.14
TE4G17560,0.4,251.5,48.72,74.29
TE4G18020,0.29,0,0.98,0.16
TE4G22290,3.61,59.18,1.27,1.22
TE4G24220,1.16,39.76,18.98,7.81
TE4G26780,13.46,21.35,28.61,36.61
TE4G29210,870.45,1493.66,994.35,561.81
TE4G31340,0.23,7.11,1.83,4.01
TE4G32030,0.97,24.98,12.44,16.76
TE4G35500,0.09,84.08,1.76,1.58
