ID,logFC,,,
TE1G00400,6.515048303,,,
TE1G03240,8.344620628,,,
TE1G16360,7.409077656,,,
TE1G25600,4.290955374,,,
TE1G25740,4.559588326,,,
TE1G26130,4.708711108,,,
TE1G26760,-3.43701685,,,
TE1G29560,-7.504906764,,,
TE1G30890,8.76767537,,,
TE1G33350,-5.793607663,,,
TE1G33360,-3.598683163,,,
TE1G34390,-3.694517325,,,
TE1G35920,2.836576013,,,
TE1G52410,-3.730004094,,,
TE2G02620,6.064307265,,,
TE2G04570,4.153789103,,,
TE2G10710,5.934163198,,,
TE2G16550,10.83913289,,,
TE2G16830,7.441427774,,,
TE2G16940,6.151482798,,,
TE2G18230,4.543302393,,,
TE2G19340,5.987160171,,,
TE2G19830,2.324917333,,,
TE2G20500,-4.972401085,,,
TE2G20540,3.041495515,,,
TE2G31740,3.526383142,,,
TE2G35390,14.76658895,,,
TE2G38900,-2.585248799,,,
TE2G42000,-6.259984779,,,
TE3G04260,4.184587468,,,
TE3G13000,4.421472864,,,
TE3G21480,6.770034141,,,
TE3G31760,6.946395817,,,
TE3G34120,-4.39407215,,,
TE4G12500,-2.694660461,,,
TE4G17560,3.161784002,,,
TE4G18020,3.987570821,,,
TE4G22290,-8.078915163,,,
TE4G24220,11.4082777,,,
TE4G26780,-3.380239946,,,
TE4G29210,-2.502109581,,,
TE4G31340,3.364498351,,,
TE4G32030,2.206607613,,,
TE4G35500,7.189800018,,,
