geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TE2G18280,53.57771078,6.740738746,0.87885625,7.669899079,1.72E-14,5.24E-14
TE4G14000,221.4921008,-1.284342002,0.167456525,-7.669704135,1.72E-14,5.24E-14
TE2G36550,189.5607549,-1.390576734,0.181323414,-7.66904123,1.73E-14,5.27E-14
TE4G03180,43.68494896,3.12877195,0.408016099,7.668256128,1.74E-14,5.30E-14
TE2G31800,283.3079669,1.05011541,0.13696397,7.667092364,1.76E-14,5.35E-14
TE1G48290,1053.875175,0.664003909,0.08681544,7.64845412,2.03E-14,6.18E-14
TE1G50930,49.81280894,2.885179802,0.37734874,7.645924038,2.07E-14,6.30E-14
TE1G47850,39.92605435,3.456970176,0.452236098,7.644171248,2.10E-14,6.39E-14
TE1G50810,38.99447247,3.498851135,0.45774663,7.643641497,2.11E-14,6.41E-14
TE3G10070,10840.51511,0.534197813,0.070013045,7.629975477,2.35E-14,7.13E-14
TE3G05850,677.0289958,0.737795991,0.096743837,7.626284166,2.42E-14,7.33E-14
TE2G14620,3277.745674,0.451850938,0.059305332,7.619060894,2.56E-14,7.75E-14
TE2G29870,36.01958166,3.869441062,0.507890967,7.618645174,2.56E-14,7.78E-14
TE1G44960,48.34384434,2.932040517,0.384918688,7.617298428,2.59E-14,7.86E-14
TE2G30490,327.9953187,-1.070217953,0.140519586,-7.616147925,2.61E-14,7.93E-14
TE3G03700,90.18261238,2.084059487,0.273697984,7.61444952,2.65E-14,8.03E-14
TE3G16500,449.5755856,-0.860655225,0.113055754,-7.612661851,2.69E-14,8.14E-14
TE1G15730,1502.59323,0.552071346,0.072542371,7.610329447,2.73E-14,8.29E-14
TE1G43340,4785.773693,-0.429268182,0.05644401,-7.605203551,2.84E-14,8.62E-14
TE1G21470,330.7735779,-1.294295335,0.170226056,-7.603391416,2.88E-14,8.74E-14
TE3G07770,1613.784631,0.605897934,0.079709707,7.601306709,2.93E-14,8.88E-14
TE3G29950,526.786461,-0.792636209,0.104278339,-7.601158757,2.93E-14,8.89E-14
TE2G12210,1147.65439,0.69355591,0.091338983,7.59320815,3.12E-14,9.45E-14
TE3G26590,93.54861138,-2.141417994,0.282033022,-7.592791709,3.13E-14,9.47E-14
TE3G06100,68.53307493,2.263955901,0.298203838,7.591974393,3.15E-14,9.53E-14
TE3G20370,4498.866883,0.452112384,0.059578296,7.588541667,3.24E-14,9.79E-14
TE4G34500,974.9757537,-0.630565512,0.083133052,-7.585015834,3.32E-14,1.01E-13
TE1G50540,60.91281594,2.599810267,0.342770318,7.584700691,3.33E-14,1.01E-13
TE1G20650,177957.7146,-0.366891103,0.048381899,-7.583230782,3.37E-14,1.02E-13
TE3G17710,52.35093282,-9.176631372,1.210260043,-7.582363331,3.39E-14,1.03E-13
TE1G37190,1707.977059,0.548755207,0.072425954,7.576775696,3.54E-14,1.07E-13
TE4G06570,15164.95203,0.444407351,0.058705371,7.570131011,3.73E-14,1.13E-13
TE3G28180,79.36273692,2.150503846,0.284143099,7.568383165,3.78E-14,1.14E-13
TE4G04590,323.7073154,-1.057426868,0.139728964,-7.567699891,3.80E-14,1.15E-13
TE1G38740,3667.932564,-0.4340762,0.057405051,-7.561637674,3.98E-14,1.20E-13
TE1G33980,66.81412299,-2.223472862,0.294096974,-7.560339131,4.02E-14,1.21E-13
TE1G19960,1291.203942,0.603491249,0.079834401,7.559288269,4.05E-14,1.22E-13
TE2G25980,1733.667368,0.598360321,0.079157209,7.559138721,4.06E-14,1.22E-13
TE2G14190,725.1267367,-0.701908763,0.092862261,-7.558600831,4.07E-14,1.23E-13
TE1G02390,35.19343685,4.050383079,0.535878394,7.558399676,4.08E-14,1.23E-13
TE4G35050,287.3957029,-1.108435078,0.146694434,-7.55608138,4.15E-14,1.25E-13
TE1G13920,788.7994254,-0.72439356,0.095884298,-7.554871571,4.19E-14,1.26E-13
TE1G09980,208.6125592,-1.220686724,0.161642273,-7.551778984,4.29E-14,1.29E-13
TE4G12410,442.6131073,-0.90919478,0.120416614,-7.550409806,4.34E-14,1.31E-13
TE1G10870,824.2259487,-0.675114127,0.089436973,-7.548490367,4.40E-14,1.33E-13
TE1G39540,714.908979,-0.714513419,0.094682186,-7.546439846,4.47E-14,1.35E-13
TE3G31500,45.03299741,-3.683192515,0.488211614,-7.544254194,4.55E-14,1.37E-13
