chr,start,end,value
1,1,1000000,0.570854648
1,1000001,2000000,0.58017162
1,2000001,3000000,0.555399835
1,3000001,4000000,0.467430308
1,4000001,5000000,0.447275465
1,5000001,6000000,0.561562162
1,6000001,7000000,0.575826444
1,7000001,8000000,0.515644768
1,8000001,9000000,0.601663205
1,9000001,10000000,0.512444512
1,10000001,11000000,0.585489193
1,11000001,12000000,0.640302812
1,12000001,13000000,0.541772381
1,13000001,14000000,0.597721628
1,14000001,15000000,0.552602427
1,15000001,16000000,0.517400127
1,16000001,17000000,0.675320418
1,17000001,18000000,0.560799985
1,18000001,19000000,0.401328006
1,19000001,20000000,0.565210638
1,20000001,21000000,0.53191215
1,21000001,22000000,0.521427221
1,22000001,23000000,0.758992076
1,23000001,24000000,0.618394772
1,24000001,25000000,0.524649584
1,25000001,26000000,0.620375942
1,26000001,27000000,0.444924552
1,27000001,28000000,0.499334755
1,28000001,29000000,0.587719807
1,29000001,30000000,0.671047693
1,30000001,31000000,0.578429854
1,31000001,32000000,0.568525785
1,32000001,33000000,0.500734866
1,33000001,34000000,0.605712294
1,34000001,35000000,0.515571045
1,35000001,36000000,0.478810328
1,36000001,37000000,0.534197928
1,37000001,38000000,0.655285568
1,38000001,39000000,0.51416897
1,39000001,40000000,0.423091554
1,40000001,41000000,0.705221114
1,41000001,42000000,0.397658963
1,42000001,43000000,0.463471816
1,43000001,44000000,0.540843576
1,44000001,45000000,0.450130852
1,45000001,46000000,0.574227387
1,46000001,47000000,0.642510042
1,47000001,48000000,0.609109283
1,48000001,49000000,0.478677022
1,49000001,50000000,0.64317048
1,50000001,51000000,0.510727851
1,51000001,52000000,0.617937352
1,52000001,53000000,0.622214967
1,53000001,54000000,0.547251973
1,54000001,55000000,0.512147786
1,55000001,56000000,0.729442633
1,56000001,57000000,0.635235066
1,57000001,58000000,0.532182157
1,58000001,59000000,0.653268306
1,59000001,60000000,0.632589334
1,60000001,61000000,0.61198911
1,61000001,62000000,0.612862121
1,62000001,63000000,0.584076555
1,63000001,64000000,0.5478446
1,64000001,65000000,0.533517354
1,65000001,66000000,0.591272101
1,66000001,67000000,0.55796492
1,67000001,68000000,0.518279155
1,68000001,69000000,0.590344042
1,69000001,70000000,0.591113482
1,70000001,71000000,0.524110938
1,71000001,72000000,0.651856917
1,72000001,73000000,0.596972995
1,73000001,74000000,0.553981054
1,74000001,75000000,0.463365464
1,75000001,76000000,0.526158694
1,76000001,77000000,0.557306053
1,77000001,78000000,0.650046078
1,78000001,79000000,0.469826707
1,79000001,80000000,0.415271162
1,80000001,81000000,0.610174051
1,81000001,82000000,0.652141271
1,82000001,83000000,0.564304021
1,83000001,84000000,0.47329149
1,84000001,85000000,0.633893115
1,85000001,86000000,0.557131455
1,86000001,87000000,0.541090793
